#{"t_start": 1767048764.4368377, "env_id": "Reacher-v4"}
r,l,t
-5.127482,50,488.594204
-6.223687,50,489.147591
-6.440697,50,489.693691
-3.660328,50,490.21259
-4.453721,50,490.732212
-2.67651,50,491.265397
-5.724034,50,491.825836
-6.140903,50,492.360193
-7.060769,50,492.919772
-3.251992,50,493.427504
-4.783909,50,493.982938
-5.111316,50,494.500738
-4.58271,50,495.02836
-4.435428,50,495.547832
-5.10955,50,496.072429
-4.93005,50,496.582174
-8.574546,50,497.103249
-4.596533,50,497.617994
-8.043121,50,498.144434
-7.830836,50,498.669153
-5.064209,50,499.20009
-2.65894,50,499.753222
-2.040946,50,500.294404
-1.403184,50,500.829482
-4.732187,50,501.355162
-3.915106,50,501.874373
-5.232816,50,502.415628
-2.816825,50,502.969621
-5.211036,50,503.526962
-5.232403,50,504.042999
-2.906331,50,504.564155
-2.387418,50,505.076459
-3.345548,50,505.609645
-5.900744,50,506.159391
-6.8747,50,506.691026
-4.893042,50,507.214419
-5.801394,50,507.737715
-6.983435,50,508.25183
-4.666517,50,508.798627
-4.102727,50,509.315104
-3.990904,50,509.850076
-3.188246,50,510.370795
-7.886949,50,510.905533
-4.812508,50,511.421152
-7.037129,50,511.946736
-5.206309,50,512.465928
-5.815781,50,513.014712
-4.908478,50,513.552997
-6.44891,50,514.076496
-4.464246,50,514.616921
-6.07494,50,515.170274
-3.772521,50,515.724241
-6.028905,50,516.241358
-4.553336,50,516.765925
-6.174928,50,517.288755
-5.143929,50,517.810528
-4.041252,50,518.32376
-5.11446,50,518.843656
-6.545745,50,519.381675
-4.804276,50,519.920236
-4.53634,50,520.457034
-3.23748,50,521.42499
-6.633092,50,522.133355
-5.915311,50,522.657984
-3.839046,50,523.200118
-4.099757,50,523.719005
-3.394313,50,524.25637
-5.063258,50,524.791703
-3.089843,50,525.310007
-5.349749,50,525.855781
-6.874186,50,526.386911
-5.06272,50,526.916811
-6.758834,50,527.447419
-5.855709,50,527.971562
-4.080449,50,528.53626
-4.711081,50,529.091158
-7.974393,50,529.605849
-4.692291,50,530.130607
-2.07884,50,530.655017
-2.003303,50,531.192835
-2.710743,50,531.682739
-6.419098,50,532.200631
-5.9846,50,532.753616
-6.734951,50,533.301171
-7.994154,50,533.845992
-6.131687,50,534.383577
-6.10502,50,534.92633
-7.974314,50,535.45635
-2.794872,50,535.964338
-4.991414,50,536.492458
-2.521752,50,537.045145
-8.554241,50,537.55635
-2.022731,50,538.068063
-3.85825,50,538.601642
-2.465724,50,539.141145
-5.140198,50,539.690189
-5.904541,50,540.218636
-5.015931,50,540.748691
-3.632041,50,541.277892
-3.769321,50,541.776687
-4.396748,50,542.289654
-5.326626,50,542.846911
-3.477346,50,543.394287
-3.483002,50,543.910927
-6.340462,50,544.420021
-4.626859,50,544.933022
-1.589302,50,545.498018
-7.073334,50,546.033786
-1.926401,50,546.546721
-5.426926,50,547.067019
-3.763766,50,547.610366
-5.113863,50,548.130586
-2.896986,50,548.661018
-6.748963,50,549.174797
-3.354668,50,549.699328
-5.25814,50,550.213083
-4.077214,50,550.731591
-6.495281,50,551.253895
-3.910135,50,551.808253
-5.397418,50,552.303811
-6.016476,50,552.818809
-5.153146,50,553.34546
-7.365299,50,553.881793
-6.66763,50,554.410851
-3.839436,50,554.929222
-5.831109,50,555.467011
-7.053939,50,556.003147
-2.207036,50,556.549796
-7.799703,50,557.106299
-7.237634,50,557.631141
-7.102645,50,558.169145
-2.59998,50,558.700661
-2.30119,50,559.224732
-4.73829,50,559.748806
-4.627342,50,560.291114
-3.345691,50,560.805378
-6.643214,50,561.338777
-5.146618,50,561.844511
-4.40981,50,562.388541
-5.428919,50,562.91386
-6.509637,50,563.423393
-6.85858,50,563.949559
-5.393312,50,564.47306
-6.840751,50,564.980779
-4.899791,50,565.516786
-5.727035,50,566.026694
-2.213444,50,566.55076
-4.762755,50,567.070464
